Table  Player                          Opponent                        Points
-------------------------------------------------------------------------------
22     Adipto Sengupta                 Tim Lawson                      3-6   
10     Alexander Gimmi                 Mike Adams                      9-6   
16     Amber Cronin                    Graham Bateman                 3-7   
12     Amy Altman                      Veronica Kirtley                9-6   
13     Anthony Wilkinson               Ian Marcellana                  9-6   
8      Austin Wolf                     Logan Hesch                     9-6   
25     Avi Lessure                     Matt Suyer                      6-3   
4      Becca Blackwood                 Bradley Skubic                  9-12  
14     Benjamin Wakefield              Mike Laing                      6-9   
4      Bradley Skubic                  Becca Blackwood                 12-9  
3      Brian Kennes                    Stan Kornacki                   9-12  
21     Cameron Riley                   John Petrella                   6-3   
28     Colin Hogan                     Gina Millott                    0-3   
23     Dani Masom                      Evan Johnstone                  3-6   
6      Daniel Hernandez                Ryan MacDonald                  6-9   
27     Danielle Lucibello              Markis Galea                    0-3   
15     David Van Hise                  Jonathon Streker                6-4   
24     Elias Medrano                   Michael Stopa                   6-3   
11     Etai Kurtzman                   John Larochelle                9-6   
23     Evan Johnstone                  Dani Masom                      6-3   
28     Gina Millott                    Colin Hogan                     3-0   
16     Graham Bateman                 Amber Cronin                    7-3   
18     Hex Dowd                        Reya Truher                     3-6   
13     Ian Marcellana                  Anthony Wilkinson               6-9   
20     Isharah Considine              Nathan Cormier                  6-3   
7      Jack Henry                      Raul Bottrell-Rogers            9-6   
9      Jarrod Haase                   Nathan Choi                       6-9   
5      Joel Brook                     Sam White                       6-9   
11     John Larochelle                Etai Kurtzman                   6-9   
21     John Petrella                   Cameron Riley                   3-6   
15     Jonathon Streker                David Van Hise                  4-6   
26     Joseph Chung                    Ran Guo                         3-6   
8      Logan Hesch                     Austin Wolf                     6-9   
1      Luke Deratzou                   Milo Brown                      9-12  
27     Markis Galea                    Danielle Lucibello              3-0   
17     Matt Rosenbloom                 Phil iwanow                     6-3   
25     Matt Suyer                      Avi Lessure                     3-6   
2      mavin liu                       Stella Burfeind                 12-9  
24     Michael Stopa                   Elias Medrano                   3-6   
10     Mike Adams                      Alexander Gimmi                 6-9   
14     Mike Laing                      Benjamin Wakefield              9-6   
1      Milo Brown                      Luke Deratzou                   12-9  
9      Nathan Choi                       Jarrod Haase                   9-6   
20     Nathan Cormier                  Isharah Considine              3-6   
17     Phil iwanow                     Matt Rosenbloom                 3-6   
19     Philip Petronis                 Terry Eleftherakis              3-6   
26     Ran Guo                         Joseph Chung                    6-3   
7      Raul Bottrell-Rogers            Jack Henry                      6-9   
18     Reya Truher                     Hex Dowd                        6-3   
6      Ryan MacDonald                  Daniel Hernandez                9-6   
5      Sam White                       Joel Brook                     9-6   
29     Sean Marks                      tyler kaldenberg                3-0   
3      Stan Kornacki                   Brian Kennes                    12-9  
2      Stella Burfeind                 mavin liu                       9-12  
19     Terry Eleftherakis              Philip Petronis                 6-3   
22     Tim Lawson                      Adipto Sengupta                 6-3   
29     tyler kaldenberg                Sean Marks                      0-3   
12     Veronica Kirtley                Amy Altman                      6-9   

EventLink - Copyright © 2025 - Wizards of the Coast LLC
